"zip","city","state","lat","lng"
"07010","Cliffside Park","New Jersey",40.8220, -73.9879
"07020","Edgewater","New Jersey",40.8246, -73.9737
"07022","Fairview","New Jersey",40.8211, -74.0030
"07024","Fort Lee","New Jersey",40.8506, -73.9710
"07026","Garfield","New Jersey",40.8797, -74.1082
"07031","North Arlington","New Jersey",40.7862, -74.1262
"07057","Wallington","New Jersey",40.8530, -74.1063
"07070","Rutherford","New Jersey",40.8203, -74.1060
"07071","Lyndhurst","New Jersey",40.7979, -74.1132
"07072","Carlstadt","New Jersey",40.8264, -74.0623
"07073","East Rutherford","New Jersey",40.8170, -74.0850
"07074","Moonachie","New Jersey",40.8381, -74.0550
"07075","Wood Ridge","New Jersey",40.8501, -74.0870
"07407","Elmwood Park","New Jersey",40.9045, -74.1195
"07410","Fair Lawn","New Jersey",40.9358, -74.1175
"07452","Glen Rock","New Jersey",40.9594, -74.1252
"07601","Hackensack","New Jersey",40.8893, -74.0456
"07602","Hackensack","New Jersey",40.8899,-74.03997
"07603","Bogota","New Jersey",40.8742, -74.0297
"07604","Hasbrouck Heights","New Jersey",40.8627, -74.0751
"07605","Leonia","New Jersey",40.8633, -73.9884
"07606","South Hackensack","New Jersey",40.8578, -74.0485
"07607","Maywood","New Jersey",40.9028, -74.0634
"07608","Teterboro","New Jersey",40.8535, -74.0601
"07620","Alpine","New Jersey",40.9687, -73.9168
"07621","Bergenfield","New Jersey",40.9242, -73.9982
"07624","Closter","New Jersey",40.9728, -73.9603
"07626","Cresskill","New Jersey",40.9397, -73.9585
"07627","Demarest","New Jersey",40.9545, -73.9565
"07628","Dumont","New Jersey",40.9452, -73.9924
"07630","Emerson","New Jersey",40.9749, -74.0232
"07631","Englewood","New Jersey",40.8911, -73.9725
"07632","Englewood Cliffs","New Jersey",40.8897, -73.9419
"07641","Haworth","New Jersey",40.9617, -73.9974
"07643","Little Ferry","New Jersey",40.8443, -74.0361
"07644","Lodi","New Jersey",40.8779, -74.0825
"07646","New Milford","New Jersey",40.9341, -74.0194
"07649","Oradell","New Jersey",40.9566, -74.0328
"07650","Palisades Park","New Jersey",40.8470, -73.9970
"07652","Paramus","New Jersey",40.9472, -74.0701
"07653","Paramus","New Jersey",40.9484,-74.06862
"07657","Ridgefield","New Jersey",40.8326, -74.0140
"07660","Ridgefield Park","New Jersey",40.8547, -74.0199
"07661","River Edge","New Jersey",40.9267, -74.0374
"07662","Rochelle Park","New Jersey",40.9106, -74.0828
"07663","Saddle Brook","New Jersey",40.9030, -74.0935
"07666","Teaneck","New Jersey",40.8903, -74.0114
"07670","Tenafly","New Jersey",40.9183, -73.9505
